age,sex,household_size,english_proficiency,marital_status,number_of_cars_and_vans,economic_activity,ethnic_group,highest_qualification,approximated_social_grade
0,2,3,4,1,2,-9,4,-9,-9
43,1,1,-9,5,1,2,1,12,2
39,2,1,-9,1,0,2,2,15,1
22,1,1,1,1,0,13,4,15,2
6,2,5,-9,1,2,-9,1,-9,-9
35,2,4,1,2,0,14,4,16,4
42,2,8,-9,2,1,1,1,15,1
4,2,4,-9,1,1,-9,2,-9,-9
0,1,4,-9,1,0,-9,4,-9,-9
70,1,2,-9,1,1,12,1,10,-9
40,2,2,2,2,1,2,13,15,3
34,2,3,3,2,1,16,13,15,2
48,1,1,-9,5,1,6,1,10,2
70,1,1,-9,1,0,12,2,10,-9
53,2,2,-9,1,1,15,2,10,3
33,1,3,-9,2,1,2,14,15,1
20,1,4,-9,1,3,-9,-9,-9,-9
10,2,5,-9,1,2,-9,1,-9,-9
18,2,3,-9,1,0,13,15,14,2
27,2,2,-9,2,0,2,1,15,1
25,1,3,-9,1,0,2,1,15,4
6,2,6,-9,1,2,-9,9,-9,-9
2,2,4,1,1,0,-9,11,-9,-9
36,1,2,2,1,1,5,4,13,2
10,2,7,2,1,1,-9,13,-9,-9
62,2,2,1,6,1,12,9,11,2
0,1,4,-9,1,1,-9,1,-9,-9
75,2,1,-9,5,1,5,1,15,-9
27,2,3,-9,1,1,2,1,15,1
3,2,4,-9,1,0,-9,7,-9,-9
36,2,3,-9,2,0,15,1,10,4
38,1,3,-9,2,0,6,1,15,1
56,2,2,-9,1,0,7,6,14,3
80,2,1,-9,6,0,12,1,10,-9
61,2,2,2,2,2,12,13,16,2
9,1,2,-9,1,0,-9,4,-9,-9
56,2,3,-9,2,2,1,1,11,3
27,1,3,-9,1,1,13,1,12,1
38,1,4,-9,2,2,2,7,15,4
1,2,4,-9,1,2,-9,7,-9,-9
49,1,5,3,2,1,13,13,14,2
35,2,2,1,2,0,2,13,16,4
21,1,5,-9,1,3,2,1,14,1
26,1,4,-9,1,3,2,1,15,2
75,1,2,-9,2,1,12,18,15,-9
37,1,1,-9,1,0,2,1,15,1
36,1,1,-9,1,1,6,4,15,1
60,2,1,-9,1,0,15,1,10,4
53,1,3,-9,1,0,2,1,15,1
38,2,3,1,2,1,16,4,15,1
24,2,3,2,1,0,6,12,15,1
41,1,3,-9,5,0,7,1,12,2
29,1,3,-9,1,0,2,1,15,1
29,1,3,-9,1,3,6,1,14,1
14,1,2,-9,1,0,-9,4,-9,-9
4,2,3,-9,1,0,-9,15,-9,-9
14,2,3,-9,1,0,-9,15,-9,-9
80,2,2,-9,2,0,12,15,10,-9
67,2,2,-9,2,1,12,9,16,-9
38,1,5,-9,1,0,15,1,10,2
64,1,2,-9,5,0,6,2,11,3
46,2,8,3,1,1,14,14,10,4
30,1,1,2,3,0,7,13,16,4
42,1,4,-9,1,1,2,1,11,2
48,1,4,1,2,1,2,4,11,3
31,2,3,-9,1,2,2,1,15,1
0,2,3,4,1,0,-9,4,-9,-9
33,1,1,-9,1,0,4,1,15,1
